index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
38467,polonlu01,N,1379.0,4840.0,728.0,1417.0,189.0,70.0,36.0,405.0,321.0,145.0,369.0,543.0,23.0,15.0,37.0,35.0,91.0,155.0,68.0,L,L,1987-04-24,2000-10-01,None,0
38464,polloaj01,N,895.0,3165.0,499.0,890.0,195.0,31.0,126.0,414.0,119.0,27.0,250.0,606.0,11.0,33.0,6.0,27.0,62.0,210.0,73.0,R,R,2012-04-18,2021-10-03,Gold Glove,1.0
38449,polanpl01,N,1927.0,7214.0,1009.0,2142.0,348.0,32.0,104.0,723.0,81.0,30.0,429.0,538.0,13.0,101.0,86.0,56.0,201.0,190.0,69.0,R,R,1998-07-03,2013-09-28,Gold Glove,1.0
38432,podsesc01,N,1079.0,3906.0,563.0,1096.0,178.0,41.0,42.0,312.0,309.0,104.0,333.0,630.0,7.0,25.0,57.0,24.0,67.0,185.0,72.0,L,L,2001-07-06,2012-10-03,None,1.0
11532,pippwa01,N,1872.0,6914.0,974.0,1941.0,311.0,148.0,90.0,998.0,125.0,60.0,596.0,551.0,0.0,38.0,272.0,0.0,0.0,180.0,73.0,L,L,1913-06-29,1928-09-30,Baseball Magazine All-Star,0
16577,pinsova01,N,2469.0,9645.0,1365.0,2757.0,485.0,127.0,256.0,1169.0,305.0,122.0,574.0,1196.0,69.0,54.0,52.0,78.0,164.0,170.0,71.0,L,L,1958-04-15,1975-09-28,Gold Glove,3.0
38376,pinknge01,N,1163.0,4610.0,874.0,1212.0,170.0,56.0,21.0,539.0,296.0,0.0,526.0,177.0,0.0,53.0,0.0,0.0,0.0,160.0,67.0,L,R,1884-08-16,1893-09-29,None,0
17871,pinielo01,N,1747.0,5867.0,651.0,1705.0,305.0,41.0,102.0,766.0,32.0,41.0,368.0,541.0,82.0,31.0,35.0,61.0,209.0,182.0,72.0,R,R,1964-09-04,1984-06-16,Rookie of the Year,1.0
38359,pillake01,N,1029.0,3595.0,459.0,933.0,216.0,15.0,97.0,391.0,92.0,32.0,153.0,636.0,6.0,47.0,12.0,26.0,69.0,200.0,72.0,R,R,2013-08-14,2021-10-02,None,0
38350,pierzaj01,N,2059.0,7290.0,807.0,2043.0,407.0,24.0,188.0,909.0,15.0,23.0,308.0,895.0,68.0,129.0,28.0,58.0,241.0,250.0,75.0,L,R,1998-09-09,2016-09-10,Silver Slugger,1.0
